"Date","SP500.Adjusted"
"2000-01-03",1455.21997070312
"2000-01-04",1399.42004394531
"2000-01-05",1402.10998535156
"2000-01-06",1403.44995117188
"2000-01-07",1441.46997070312
"2000-01-10",1457.59997558594
"2000-01-11",1438.56005859375
"2000-01-12",1432.25
"2000-01-13",1449.68005371094
"2000-01-14",1465.15002441406
"2000-01-18",1455.14001464844
"2000-01-19",1455.90002441406
"2000-01-20",1445.56994628906
"2000-01-21",1441.35998535156
"2000-01-24",1401.53002929688
"2000-01-25",1410.03002929688
"2000-01-26",1404.08996582031
"2000-01-27",1398.56005859375
"2000-01-28",1360.16003417969
"2000-01-31",1394.4599609375
"2000-02-01",1409.28002929688
"2000-02-02",1409.11999511719
"2000-02-03",1424.96997070312
"2000-02-04",1424.36999511719
"2000-02-07",1424.23999023438
"2000-02-08",1441.71997070312
"2000-02-09",1411.7099609375
"2000-02-10",1416.82995605469
"2000-02-11",1387.11999511719
"2000-02-14",1389.93994140625
"2000-02-15",1402.05004882812
"2000-02-16",1387.67004394531
"2000-02-17",1388.26000976562
"2000-02-18",1346.08996582031
"2000-02-22",1352.17004394531
"2000-02-23",1360.68994140625
"2000-02-24",1353.43005371094
"2000-02-25",1333.35998535156
"2000-02-28",1348.05004882812
"2000-02-29",1366.42004394531
"2000-03-01",1379.18994140625
"2000-03-02",1381.76000976562
"2000-03-03",1409.17004394531
"2000-03-06",1391.28002929688
"2000-03-07",1355.61999511719
"2000-03-08",1366.69995117188
"2000-03-09",1401.68994140625
"2000-03-10",1395.06994628906
"2000-03-13",1383.61999511719
"2000-03-14",1359.15002441406
"2000-03-15",1392.14001464844
"2000-03-16",1458.46997070312
"2000-03-17",1464.46997070312
"2000-03-20",1456.63000488281
"2000-03-21",1493.86999511719
"2000-03-22",1500.64001464844
"2000-03-23",1527.34997558594
"2000-03-24",1527.4599609375
"2000-03-27",1523.85998535156
"2000-03-28",1507.72998046875
"2000-03-29",1508.52001953125
"2000-03-30",1487.92004394531
"2000-03-31",1498.57995605469
"2000-04-03",1505.96997070312
"2000-04-04",1494.72998046875
"2000-04-05",1487.36999511719
"2000-04-06",1501.33996582031
"2000-04-07",1516.34997558594
"2000-04-10",1504.4599609375
"2000-04-11",1500.58996582031
"2000-04-12",1467.17004394531
"2000-04-13",1440.51000976562
"2000-04-14",1356.56005859375
"2000-04-17",1401.43994140625
"2000-04-18",1441.60998535156
"2000-04-19",1427.46997070312
"2000-04-20",1434.5400390625
"2000-04-24",1429.85998535156
"2000-04-25",1477.43994140625
"2000-04-26",1460.98999023438
"2000-04-27",1464.92004394531
"2000-04-28",1452.43005371094
"2000-05-01",1468.25
"2000-05-02",1446.2900390625
"2000-05-03",1415.09997558594
"2000-05-04",1409.56994628906
"2000-05-05",1432.63000488281
"2000-05-08",1424.17004394531
"2000-05-09",1412.14001464844
"2000-05-10",1383.05004882812
"2000-05-11",1407.81005859375
"2000-05-12",1420.9599609375
"2000-05-15",1452.35998535156
"2000-05-16",1466.0400390625
"2000-05-17",1447.80004882812
"2000-05-18",1437.2099609375
"2000-05-19",1406.94995117188
"2000-05-22",1400.71997070312
"2000-05-23",1373.85998535156
"2000-05-24",1399.05004882812
"2000-05-25",1381.52001953125
"2000-05-26",1378.02001953125
"2000-05-30",1422.44995117188
"2000-05-31",1420.59997558594
"2000-06-01",1448.81005859375
"2000-06-02",1477.26000976562
"2000-06-05",1467.63000488281
"2000-06-06",1457.83996582031
"2000-06-07",1471.35998535156
"2000-06-08",1461.67004394531
"2000-06-09",1456.94995117188
"2000-06-12",1446
"2000-06-13",1469.43994140625
"2000-06-14",1470.5400390625
"2000-06-15",1478.72998046875
"2000-06-16",1464.4599609375
"2000-06-19",1486
"2000-06-20",1475.94995117188
"2000-06-21",1479.13000488281
"2000-06-22",1452.18005371094
"2000-06-23",1441.47998046875
"2000-06-26",1455.31005859375
"2000-06-27",1450.55004882812
"2000-06-28",1454.81994628906
"2000-06-29",1442.39001464844
"2000-06-30",1454.59997558594
"2000-07-03",1469.5400390625
"2000-07-05",1446.22998046875
"2000-07-06",1456.67004394531
"2000-07-07",1478.90002441406
"2000-07-10",1475.61999511719
"2000-07-11",1480.88000488281
"2000-07-12",1492.92004394531
"2000-07-13",1495.83996582031
"2000-07-14",1509.97998046875
"2000-07-17",1510.48999023438
"2000-07-18",1493.73999023438
"2000-07-19",1481.9599609375
"2000-07-20",1495.56994628906
"2000-07-21",1480.18994140625
"2000-07-24",1464.2900390625
"2000-07-25",1474.46997070312
"2000-07-26",1452.42004394531
"2000-07-27",1449.61999511719
"2000-07-28",1419.89001464844
"2000-07-31",1430.82995605469
"2000-08-01",1438.09997558594
"2000-08-02",1438.69995117188
"2000-08-03",1452.56005859375
"2000-08-04",1462.93005371094
"2000-08-07",1479.31994628906
"2000-08-08",1482.80004882812
"2000-08-09",1472.86999511719
"2000-08-10",1460.25
"2000-08-11",1471.83996582031
"2000-08-14",1491.56005859375
"2000-08-15",1484.43005371094
